,id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,district,condition,yr_built,yr_renovated,zipcode,price,grade
0,7129300520,3,1,1180,5650,1,0,0,2,1955,0,98178,221900,1
1,6414100192,3,2.25,2570,7242,2,0,0,2,1951,1991,98125,538000,1
2,5631500400,2,1,770,10000,1,0,0,2,1933,0,98028,180000,1
3,2487200875,4,3,1960,5000,1,0,0,4,1965,0,98136,604000,1
4,1954400510,3,2,1680,8080,1,0,0,2,1987,0,98074,510000,2
5,7237550310,4,4.5,1910,101930,1,0,0,2,2001,0,98053,1230000,3
6,1321400060,3,2.25,1910,6819,2,0,0,2,1995,0,98003,257500,1
7,2008000270,3,1.5,1060,9711,1,0,0,2,1963,0,98198,291850,1
8,2414600126,3,2.25,1780,7620,1,0,0,2,1960,0,98146,229500,1
9,3793500160,3,2.5,1890,6560,2,0,0,2,2003,0,98038,323000,1
10,1736800520,3,2.5,3560,9796,1,0,0,2,1965,0,98007,662500,2
11,9212900260,2,1,1160,6000,1,0,0,3,1942,0,98115,468000,1
12,114101516,3,1,1430,7620,1.5,0,0,3,1927,0,98028,310000,1
13,6054650070,3,1.75,1910,9680,1,0,0,3,1977,0,98074,400000,1
14,1175000570,5,2,1910,4850,1.5,0,0,2,1900,0,98107,530000,1
15,9297300055,3,3,2950,5000,2,0,3,2,1979,0,98126,650000,2
16,1875500060,3,2,1910,14040,2,0,0,2,1994,0,98019,395000,1
17,6865200140,3,1,1600,7620,1.5,0,0,3,1916,0,98103,485000,1
18,16000397,2,1,1200,9850,1,0,0,3,1921,0,98002,189000,1
19,7983200060,3,1,1910,9774,1,0,0,3,1969,0,98003,230000,1
20,6300500875,4,1.75,1620,4980,1,0,0,3,1947,0,98133,385000,1
21,2524049179,3,2.75,3050,44867,1,0,4,2,1968,0,98040,2000000,2
22,7137970340,5,2.5,2270,6300,2,0,0,2,1995,0,98092,285000,2
23,8091400200,2,2.25,1070,7620,1,0,0,2,1985,0,98030,252700,1
24,3814700200,3,2.25,1910,6500,2,0,0,3,1985,0,98030,329000,2
25,1202000200,3,2,1710,4697,1.5,0,0,4,1941,0,98002,233000,1
26,1794500383,3,1.75,1910,2691,2,0,0,2,1915,0,98119,937000,2
27,3303700376,3,1,1400,1581,1.5,0,0,4,1909,0,98112,667000,2
28,5101402488,3,1.75,1520,6380,1,0,0,2,1948,0,98115,438000,1
29,1873100390,3,2.5,2570,7173,2,0,0,2,2005,0,98052,719000,2
30,8562750320,3,2.5,1910,3980,2,0,0,2,2003,0,98027,580500,2
31,2426039314,2,1.5,1190,1265,3,0,0,2,2005,0,98133,280000,1
32,461000390,4,1.75,2330,5000,1.5,0,0,3,1929,0,98117,687500,1
33,7589200193,3,1,1090,3000,1.5,0,0,3,1929,0,98117,535000,2
34,7955080270,4,2.75,2060,6659,1,0,0,2,1981,0,98058,322500,1
35,9547205180,3,2.5,1910,3060,1.5,0,0,2,1930,2002,98115,696000,2
36,9435300030,4,1,1660,34848,1,0,0,0,1933,0,98052,550000,0
37,2768000400,4,2,2360,6000,2,0,0,3,1904,0,98107,640000,2
38,7895500070,4,1,1220,8075,1,0,0,1,1969,0,98001,240000,1
39,2078500320,4,2.5,2620,7553,2,0,0,2,1996,0,98056,605000,2
40,5547700270,4,2.5,2570,5520,2,0,0,2,2000,0,98074,625000,2
41,7766200013,4,2.25,4220,24186,1,0,0,2,1984,0,98166,775000,2
42,7203220400,5,2.75,3595,5639,2,0,0,2,2014,0,98053,861990,2
43,9270200160,3,1,1570,2280,2,0,0,2,1922,0,98119,685000,1
44,1432701230,3,1,1280,9656,1,0,0,3,1959,0,98058,309000,1
45,8035350320,3,2.5,3160,13603,2,0,0,2,2003,0,98019,488000,2
46,8945200830,3,1,990,8528,1,0,0,2,1966,0,98023,210490,1
47,4178300310,4,2.5,2290,13416,2,0,0,3,1981,0,98007,785000,2
48,9215400105,3,1.75,1250,5963,1,0,0,3,1953,0,98115,450000,1
49,822039084,3,2.5,2753,65005,1,1,2,4,1953,0,98070,1350000,2
50,5245600105,3,1,1190,9199,1,0,0,2,1955,0,98148,228000,1
51,7231300125,5,2.5,3150,9134,1,0,0,3,1966,0,98056,345000,2
52,7518505990,3,1.75,1410,4080,1,0,0,3,1950,0,98117,600000,1
53,3626039271,2,1.75,1980,8550,1,0,0,2,1981,0,98117,585000,1
54,4217401195,5,2.25,2730,6000,1.5,0,0,2,1927,0,98105,920000,2
55,9822700295,4,2.5,2830,5000,2,0,0,2,1995,0,98105,885000,2
56,9478500640,4,2.5,2250,4495,2,0,0,2,2008,0,98042,292500,1
57,2799800710,3,2.5,2420,4750,2,0,0,2,2003,0,98042,301000,2
58,7922800400,5,3.25,3250,14342,2,0,4,3,1968,0,98008,951000,2
59,8079040320,4,3,1850,9976,2,0,0,2,1991,0,98059,430000,2
60,1516000055,3,2.25,2150,21235,1,0,3,3,1959,0,98166,650000,2
61,9558200045,3,1.75,1260,8400,1,0,0,2,1954,0,98148,289000,1
62,5072410070,3,1.75,2519,8690,2,0,0,4,1973,0,98166,505000,2
63,9528102996,3,1.75,1540,1044,3,0,0,2,2014,0,98115,549000,2
